wn_synset,wn_definition,wn_ili,wn_members,wn_wd_qid
02528013-n,large edible marine fish of northern coastal waters; related to cod,i48957,cusk|torsk|Brosme brosme,Q850056
02533268-n,shad of Atlantic coast of North America; naturalized to Pacific coast,i48983,common American shad|Alosa sapidissima,Q545697
02536176-n,small pilchards common off the pacific coast of North America,i49000,Pacific sardine|Sardinops caerulea,Q106383686
02538168-n,found in northern coastal Atlantic waters or tributaries; adults do not die after spawning,i49012,Atlantic salmon|Salmo salar,Q188879
02540156-n,found in Pacific coastal waters and streams from lower California to Alaska,i49021,rainbow trout|Salmo gairdneri,Q106428789
02540847-n,North American freshwater trout; introduced in Europe,i49025,brook trout|speckled trout|Salvelinus fontinalis,Q723654
02541193-n,small trout of northern waters; landlocked populations in Quebec and northern New England,i49027,Arctic char|Salvelinus alpinus,Q421047
02542055-n,found in the Great Lakes and north to Alaska,i49031,lake whitefish|Coregonus clupeaformis,Q110577
02543614-n,the common smelt of Europe,i49040,sparling|European smelt|Osmerus eperlanus,Q840795
02548472-n,large elliptical brightly colored deep-sea fish of Atlantic and Pacific and Mediterranean,i49070,opah|moonfish|Lampris regius,Q106392599
02549645-n,thin deep-water tropical fish 20 to 30 feet long having a red dorsal fin,i49078,oarfish|king of the herring|ribbonfish|Regalecus glesne,Q310390
02551320-n,bottom-dwelling fish having scaleless slimy skin and a broad thick head with a wide mouth,i49086,toadfish|Opsanus tau,Q1524360
02554299-n,slender long-beaked fish of temperate Atlantic waters,i49103,saury|billfish|Scomberesox saurus,Q1886478
02559004-n,a small perch of India whose gills are modified to allow it to breathe air; has spiny pectoral fins that enable it to travel on land,i49115,climbing perch|Anabas testudineus|A. testudineus,Q10540515
02559813-n,North American perch,i49119,yellow perch|Perca flavescens,Q469754
02560380-n,pike-like freshwater perches,i49123,walleye|walleyed pike|jack salmon|dory|Stizostedion vitreum,Q107329229
02564012-n,voracious piscivorous pike of waters of Northern Hemisphere,i49145,northern pike|Esox lucius,Q165278
02564568-n,small but gamy pickerel of Atlantic coastal states,i49149,redfin pickerel|barred pickerel|Esox americanus,Q93675
02565602-n,a crappie that is black,i49154,black crappie|Pomoxis nigromaculatus,Q3006347
02567034-n,game and food fish of upper Mississippi and Great Lakes,i49163,rock bass|rock sunfish|Ambloplites rupestris,Q2093287
02569120-n,small silvery food and game fish of eastern United States streams,i49173,white perch|silver perch|Morone americana,Q2337531
02569965-n,small marine fish with black mouth and gill cavity,i49177,blackmouth bass|Synagrops bellus,Q2181894
02570264-n,a kind of sea bass,i49179,rock sea bass|rock bass|Centropristis philadelphica,Q3542000
02571438-n,found in warm shallow waters of western Atlantic,i49186,belted sandfish|Serranus subligarius,Q1562068
02571965-n,black-spotted usually dusky-colored fish with reddish fins,i49189,coney|Epinephelus fulvus,Q106418886
02572536-n,deep-sea fish of tropical Atlantic,i49193,creole-fish|Paranthias furcifer,Q2605826
02572795-n,large dark grouper with a thick head and rough scales,i49195,jewfish|Mycteroperca bonaci,Q2912602
02575880-n,yellow-spotted violet food fish of warm deep waters,i49214,tilefish|Lopholatilus chamaeleonticeps,Q198572
02580034-n,streamlined cigar-shaped jack; good game fish,i49236,rainbow runner|Elagatis bipinnulata,Q1807925
02580583-n,fish having greatly elongated front rays on dorsal and anal fins,i49240,threadfish|thread-fish|Alectis ciliaris,Q2802649
02580864-n,any of several silvery marine fishes with very flat bodies,i49242,moonfish|Atlantic moonfish|horsefish|horsehead|horse-head|dollarfish|Selene setapinnis,Q649336
02581559-n,game fish of southern California and Mexico having a yellow tail fin,i49246,yellowtail|Seriola dorsalis,Q21297408
02581934-n,large game fish of Australia and New Zealand,i49248,kingfish|Seriola grandis,Q106413580
02582393-n,found in coastal waters New England to Brazil except clear waters of West Indies,i49251,Florida pompano|Trachinotus carolinus,Q2601525
02582819-n,small pelagic fish often accompanying sharks or mantas,i49254,pilotfish|Naucrates ductor,Q223289
02583310-n,a California food fish,i49257,horse mackerel|jack mackerel|Spanish mackerel|saurel|Trachurus symmetricus,Q2626960
02583461-n,large elongated compressed food fish of the Atlantic waters of Europe,i49258,horse mackerel|saurel|Trachurus trachurus,Q842956
02584273-n,small fusiform fish of western Atlantic,i49263,round scad|cigarfish|quiaquia|Decapterus punctatus,Q1964494
02588869-n,important food fish of the Nile and other rivers of Africa and Asia Minor,i49290,bolti|Tilapia nilotica,Q106405737
02590248-n,food fish of warm Caribbean and Atlantic waters,i49297,schoolmaster|Lutjanus apodus,Q2542507
02590507-n,superior food fish of the tropical Atlantic and Caribbean with broad yellow stripe along the sides and on the tail,i49299,yellowtail|yellowtail snapper|Ocyurus chrysurus,Q928985
02591575-n,a kind of grunt,i49304,Spanish grunt|Haemulon macrostomum,Q3758334
02591692-n,found off the West Indies and Florida,i49305,tomtate|Haemulon aurolineatum,Q2482811
02591946-n,a grunt found from Florida to Brazil and Gulf of Mexico,i49307,sailor's-choice|sailors choice|Haemulon parra,Q968535
02594541-n,sea bream of warm Atlantic waters,i49322,Atlantic sea bream|Archosargus rhomboidalis,Q2700401
02595001-n,similar to sea bream; small spiny-finned fish found in bays along the southeastern coast of the United States,i49325,pinfish|sailor's-choice|squirrelfish|Lagodon rhomboides,Q1870535
02595364-n,from Florida and Bahamas to Brazil,i49327,sheepshead porgy|Calamus penna,Q969159
02595649-n,Australian food fish having a pinkish body with blue spots,i49329,snapper|Chrysophrys auratus,Q111127408
02595821-n,important dark-colored edible food and game fish of Australia,i49330,black bream|Chrysophrys australis,Q106420509
02597572-n,a kind of drumfish,i49338,striped drum|Equetus pulcher,Q106417247
02597686-n,black-and-white drumfish with an erect elongated dorsal fin,i49339,jackknife-fish|Equetus lanceolatus,Q1497325
02597969-n,small silvery drumfish often mistaken for white perch; found along coasts of United States from New York to Mexico,i49341,silver perch|mademoiselle|Bairdiella chrysoura,Q2514677
02598697-n,large important food fish of Australia; almost indistinguishable from the maigre,i49345,mulloway|jewfish|Sciaena antarctica,Q106417781
02600448-n,whiting of the southeastern coast of North America,i49355,king whiting|Menticirrhus americanus,Q2177693
02600602-n,whiting of the east coast of United States; closely resembles king whiting,i49356,northern whiting|Menticirrhus saxatilis,Q2765403
02600764-n,bluish-grey whiting of California coast,i49357,corbina|Menticirrhus undulatus,Q692017
02602928-n,brightly colored tropical fishes with chin barbels,i49370,goatfish|red mullet|surmullet|Mullus surmuletus,Q7119
02603428-n,schooling goatfish; greyish with yellow stripe,i49373,yellow goatfish|Mulloidichthys martinicus,Q1941836
02604551-n,silvery mullet of Atlantic and Pacific coasts,i49379,white mullet|Mugil curema,Q1818649
02604689-n,similar to the striped mullet and takes its place in the Caribbean region,i49380,liza|Mugil liza,Q1911764
02605390-n,a relatively large silversides of the Pacific coast of North America (known to reach 18 inches in length),i49384,jacksmelt|Atherinopsis californiensis,Q939626
02609831-n,an anemone fish of the genus Amphiprion,i49411,clown anemone fish|Amphiprion percula,Q926234
02610914-n,found around the Great Barrier Reef,i49417,pigfish|giant pigfish|Achoerodus gouldii,Q935046
02613003-n,common in north Atlantic coastal waters of the United States,i49431,cunner|bergall|Tautogolabrus adspersus,Q1884642
02617928-n,slippery scaleless food fish of the northern Atlantic coastal waters,i49460,rock gunnel|butterfish|Pholis gunnellus,Q640454
02620449-n,brightly colored scaleless Arctic eelpout,i49476,fish doctor|Gymnelus viridis,Q2584636
02624207-n,surgeon fish of the West Indies,i49500,doctorfish|doctor-fish|Acanthurus chirurgus,Q2355866
02624879-n,predatory tropical fishes with jutting jaws and strong teeth,i49504,snake mackerel|Gempylus serpens,Q1817179
02627181-n,important food fish of the northern Atlantic and Mediterranean; its body is greenish-blue with dark bars and small if any scales,i49515,common mackerel|shiner|Scomber scombrus,Q30153
02627617-n,small mackerel found nearly worldwide,i49517,chub mackerel|tinker|Scomber japonicus,Q815837
02628719-n,a large commercially important mackerel of the Atlantic coastal waters of North America,i49523,Scomberomorus maculatus,Q311047
02628895-n,large edible mackerel of temperate United States coastal Atlantic waters,i49524,cero|pintado|kingfish|Scomberomorus regalis,Q1796427
02629101-n,a Spanish mackerel of western North America,i49525,sierra|Scomberomorus sierra,Q613384
02629922-n,largest tuna; to 1500 pounds; of mostly temperate seas: feed in polar regions but breed in tropics,i49529,bluefin|bluefin tuna|horse mackerel|Thunnus thynnus,Q214415
02630889-n,common bonito of Pacific coast of the Americas; its dark oily flesh cans well,i49534,Chile bonito|Chilean bonito|Pacific bonito|Sarda chiliensis,Q18560367
02633245-n,a kind of sailfish,i49546,Atlantic sailfish|Istiophorus albicans,Q1064635
02633960-n,largest marlin; may reach 2000 pounds; found worldwide in warm seas,i49550,blue marlin|Makaira nigricans,Q882668
02634105-n,large game fish in the Pacific Ocean; may reach 1000 pounds,i49551,black marlin|Makaira mazara|Makaira marlina,Q106426463
02634258-n,Pacific food and game fish marked with dark blue vertical stripes,i49552,striped marlin|Makaira mitsukurii,Q106426464
02634405-n,small marlin (to 180 pounds) of western Atlantic,i49553,white marlin|Makaira albida,Q106426240
02636052-n,small food fish of Atlantic coast,i49562,dollarfish|Poronotus triacanthus,Q107330934
02636307-n,smaller than Florida pompano; common in West Indies,i49564,palometa|California pompano|Palometa simillima,Q107330919
02639035-n,tripletail found from Cape Cod to northern South America,i49582,Atlantic tripletail|Lobotes surinamensis,Q2168666
02639180-n,tripletail found in the Pacific,i49583,Pacific tripletail|Lobotes pacificus,Q2462078
02643256-n,food and game fish of marine and fresh waters of northwestern coast of North America,i49607,Pacific sturgeon|white sturgeon|Sacramento sturgeon|Acipenser transmontanus,Q592876
02643487-n,valuable source of caviar and isinglass; found in Black and Caspian seas,i49608,beluga|hausen|white sturgeon|Acipenser huso,Q106373169
02644009-n,primitive predaceous North American fish covered with hard scales and having long jaws with needlelike teeth,i49611,gar|garfish|garpike|billfish|Lepisosteus osseus,Q1431272
02645946-n,a kind of scorpionfish,i49619,plumed scorpionfish|Scorpaena grandicornis,Q2197411
02647295-n,a large fish of the Pacific coast of North America,i49628,red rockfish|Sebastes ruberrimus,Q4847126
02649924-n,small tadpole-shaped cold-water fishes with pelvic fins forming a sucker; related to lumpfish,i49645,snailfish|seasnail|sea snail|Liparis liparis,Q2125926
02653690-n,large searobin; found from Nova Scotia to Florida,i49667,northern sea robin|Prionotus carolinus,Q2045269
02656127-n,tropical Atlantic fish,i49679,queen triggerfish|Bessy cerca|oldwench|oldwife|Balistes vetula,Q302151
02657375-n,trunkfish having hornlike spines over the eyes,i49687,cowfish|Lactophrys quadricornis,Q106443279
02658478-n,spines become erect when the body is inflated; worldwide in warm waters,i49693,porcupinefish|porcupine fish|Diodon hystrix,Q1328265
02658662-n,similar to but smaller than porcupinefish,i49694,balloonfish|Diodon holocanthus,Q1329475
02659599-n,caudal fin has a central projection,i49700,sharptail mola|Mola lanceolata,Q106441405
02661161-n,large European food fish,i49707,plaice|Pleuronectes platessa,Q27098
02661806-n,American flounder having a yellowish tail,i49711,yellowtail flounder|Limanda ferruginea,Q1499442
02662108-n,important American food fish in the winter,i49713,winter flounder|blackback flounder|lemon sole|Pseudopleuronectes americanus,Q1071815
02664248-n,flounder of eastern coast of North America,i49726,summer flounder|Paralichthys dentatus,Q2536162
02665027-n,a whiff found in waters from the Bahamas and northern Gulf of Mexico to Brazil,i49731,horned whiff|Citharichthys cornutus,Q5904261
02665455-n,very thin translucent flounder of the Atlantic coast of North America,i49734,windowpane|Scophthalmus aquosus,Q2045179
02665841-n,a large brownish European flatfish,i49737,turbot|Psetta maxima,Q21097700
02666915-n,highly valued as food,i49743,European sole|Solea solea,Q27773
02667029-n,small European sole,i49744,lemon sole|Solea lascaris,Q126890724
81495019-n,a jackal native to Europe and Asia with a golden coat,,jackal|Canis aureus|golden jackal,Q128098
82475871-n,a canid living in the deserts of Northern Africa related to the golden jackal and the grey wolf,,jackal|Canis anthus|African golden wolf|Egyptian jackal|grey jackal,Q20744349
85534571-n,a venomous snake from southern Africa noted for the black interior of its mouth,,black mamba|Dendroaspis polylepis,Q188690
04420036-n,station where transport vehicles load or unload passengers or goods,i60131,terminal|terminus|depot,Q67183571
04552265-n,a path set aside for walking,i60918,walk|walkway|paseo,Q17087190
04609402-n,a place where work is done,i61259,workplace|work,Q628858
92428876-n,A leavening agent (also known as raising agent or leaven agent) is a substance added to dough or batter to make it lighter and softer.,,leavening agent|raising agent|leaven agent,Q908833
92429012-n,a line of clothes for one season developed by a fashion designer.,,fashion collection,Q5480329
92438037-n,a form of abstract art in which paint is dripped or poured onto the canvas.,,drip painting,Q1259130
92439235-n,a type of art which relies on moving pictures and comprises video and/or audio data.,,video art,Q682010
92439251-n,the characteristic style in Neo-Impressionist painting defined by the separation of colors into individual dots or patches which interacted optically.,,Divisionism,Q2487023
92444179-n,"a close combat weapon in which the main fighting part of the weapon is fitted to the end of a long shaft, typically of wood, thereby extending the user's effective range.",,polearm|pole weapon,Q649107
92459652-n,An induction or asynchronous motor is an AC electric motor in which the electric current in the rotor needed to produce torque is obtained by electromagnetic induction from the magnetic field of the stator winding.,,asynchronous motor|induction motor,Q207450
92460215-n,A pile driving device consisting of a large two-stroke diesel engine.,,diesel hammer|diesel pile hammer,Q4161419
92460744-n,"a type of rail car that has two levels of passenger accommodation, as opposed to one, increasing passenger capacity.",,bilevel car|double-deck carriage|bilevel railcar|bilevel rail car|double-deck railcar|double-deck rail car,Q1243337
92461089-n,"a computation system that makes direct use of quantum-mechanical phenomena, such as superposition and entanglement, to perform operations on data.",,quantum computer,Q176555
92463414-n,a furnace for heating the metal charge contained in refractory crucibles.,,crucible furnace,Q2432040
92465443-n,yarn made from silk waste.,,spun silk,Q476147
90007211-n,a computer architecture based on the Intel 8086 chip,,x86,Q182933
92406275-n,the weight per unit volume of a material.,,specific weight,Q749542
92436849-n,the main school of painting and sculpture practiced by the Russian Futurists.,,cubo-futurism,Q1400843
05924405-n,rules in Chinese philosophy that govern spatial arrangement and orientation in relation to patterns of yin and yang and the flow of energy (qi); the favorable or unfavorable effects are taken into consideration in designing and siting buildings and graves and furniture,i67925,feng shui,Q170537
06047178-n,the science that studies living organisms,i68494,biology|biological science,Q420
06137134-n,the branch of engineering concerned with the design and construction of such public works as dams or bridges,i68808,civil engineering,Q77590
06137324-n,the branch of civil engineering dealing with the use and control of water in motion,i68809,hydraulic engineering,Q1130265
06137475-n,the branch of engineering science that studies the uses of electricity and the equipment for power generation and distribution and the control of machines and communication,i68810,electrical engineering|EE,Q43035
06143961-n,the branch of engineering that deals with the use of computers and telecommunications to retrieve and store and transmit information,i68822,information technology|IT,Q11661
06145709-n,the science of mental life,i68832,psychology|psychological science,Q9418
06152997-n,the social science that studies the origins and social relationships of human beings,i68861,anthropology,Q23404
06153532-n,the branch of anthropology that studies prehistoric people and their cultures,i68862,archeology|archaeology,Q23498
06157599-n,the study of government of states and other political units,i68886,politics|political science|government,Q36442
06161163-n,the study and classification of human societies,i68900,sociology,Q21201
06162890-n,the study of wooden plants,,dendrology,Q192658
06180756-n,the humanistic study of language and literature,i68983,linguistics|philology,Q40634
06241948-n,"a Protestant movement in the 16th century that believed in the primacy of the Bible, baptised only believers, not infants, and believed in complete separation of church and state",i69278,Anabaptism,Q165580
92436708-n,"a measure of statistical dispersion, being equal to the difference between the upper and lower quartiles.",,interquartile range|midspread|middle fifty,Q1916617
92437059-n,"In particle physics, the unified description of two of the four known fundamental interactions of nature: electromagnetism and the weak interaction.",,electroweak interaction,Q466416
92437064-n,memories that can be consciously recalled such as facts and knowledge.,,declarative memory,Q18603
92438778-n,a revolutionary anarchist doctrine that advocates the abolition of both the state and private ownership of the means of production.,,anarcho-collectivism|collectivist anarchism,Q223178
92439922-n,a pseudo-scientific hypothesis that posits that intelligent extraterrestrial beings have visited Earth and made contact with humans in antiquity and prehistory.,,ancient astronaut hypothesis|paleocontact hypothesis,Q646988
92440143-n,socialism associated chiefly with Marxians and based principally upon a belief that historical forces (as economic determinism and the class struggle) determine usually by violent means the achievement of socialist goals.,,scientific socialism,Q865354
92440148-n,"the interdisciplinary study of systems in general, with the goal of elucidating principles that can be applied to all types of systems at all nesting levels in all fields of research.",,systems theory,Q269699
92440554-n,"the original version of string theory, developed in the late 1960s.",,bosonic string theory,Q1202882
92446523-n,A type of socialism which attempts to reach feasible goals instead of aiming for the ultimate goals of Marxism-Leninism.,,real socialism,Q206313
92447049-n,any set of axioms from which some or all axioms can be used in conjunction to logically derive theorems.,,axiomatic system,Q792542
92447050-n,"(logic and mathematics) abstract, theoretical organization of terms and implicit relationships that is used as a tool for the analysis of the concept of deduction.",,formal system,Q649732
06277363-n,journalism that presents a story primarily through the use of pictures,i69438,photojournalism,Q506858
06346843-n,(law) a name or sign used on certain products which corresponds to a specific geographical location or origin,,geographical indication|GI,Q325668
06352347-n,a Hebrew title of respect for a wise and highly educated man,i69797,Hakham,Q1058384
06352710-n,a form of address for a man,i69800,Mister|Mr|Mr.,Q177053
06548380-n,a written communication in a second language having the same meaning as the written communication in a first language,i70814,translation|interlingual rendition|rendering|version,Q7553
06551169-n,the body of law dealing with crimes and their punishment,i70831,criminal law,Q146491
06588108-n,(computer science) a program that translates and executes source language statements one line at a time,i71010,interpreter|interpretive program,Q183065
06588903-n,(computer science) an application that can be used to create and view and edit text files,i71015,text editor,Q131212
06600315-n,"malicious software, designed to break into a system",,malware,Q14001
06626039-n,a form of entertainment that enacts a story by sound and a sequence of images giving the illusion of continuous movement,i71223,movie|film|picture|moving picture|moving-picture show|motion picture|motion-picture show|picture show|pic|flick,Q11424
06692202-n,the process of printing from a surface on which the printing areas are not raised but are ink-receptive (as opposed to ink repellent),i71584,planographic printing|planography,Q2875163
06716496-n,doctor's degree in osteopathy,i71726,Doctor of Osteopathy|DO,Q5287521
06716716-n,a doctorate awarded for original contributions to knowledge,i71728,Doctor of Philosophy,Q752297
06864566-n,trade name of a company that produces musical recordings,i72496,label|recording label,Q18127
06919215-n,any of the languages spoken by Amerindians,i72806,Amerind|Amerindian language|American-Indian language|American Indian|Indian|American Indian language|Indian language|Amerind language,Q51739
06919747-n,family of North American Indian languages spoken from Labrador to South Carolina and west to the Great Plains,i72807,Algonquian|Algonquin|Algonquian language,Q33392
06920343-n,a language spoken by the Atakapa of the Gulf Coast of Louisiana and Texas,i72808,Atakapa|Atakapan|Attacapa|Attacapan|Atakapan language|Attacapa language|Atakapa language|Attacapan language,Q10975683
06920504-n,"a group of Amerindian languages (the name coined by an American anthropologist, Edward Sapir)",i72809,Athapaskan|Athapascan|Athabaskan|Athabascan|Athapaskan language,Q27475
06920824-n,the Algonquian language spoken by the Abnaki and Penobscot,i72810,Abnaki|Abnaki language,Q197936
06922074-n,the Algonquian language spoken by the Cree,i72821,Cree|Cree language,Q56696
06922448-n,a branch of the Siouan languages,i72825,Dhegiha,Q3217420
06922815-n,a Siouan language spoken by the Hunkpapa,i72828,Hunkpapa|Hunkpapa language,Q33537
06922910-n,the Algonquian language of the Illinois and Miami,i72829,Illinois|Illinois language,Q56523
06923293-n,the Algonquian language of the Malecite and Passamaquody,i72833,Malecite|Maleseet|Malecite language|Maleseet language,Q3183144
06923415-n,the Algonquian language of the Massachuset,i72834,Massachuset|Massachusetts|Massachusetts language|Massachuset language,Q56519
06923644-n,the Algonquian language of the Micmac,i72836,Micmac|Micmac language,Q13321
06924142-n,the Algonquian language spoken by the Ojibwa,i72841,Ojibwa|Ojibway|Chippewa|Ojibway language|Ojibwa language|Chippewa language,Q33875
06925313-n,the Muskhogean language spoken by the Hitchiti,i72853,Hitchiti|Hitchiti language,Q13316
06925513-n,the Muskhogean language spoken by the Muskogee,i72855,Muskogee|Muskogee language,Q523014
06926089-n,a family of North American Indian languages spoken in the southeastern United States,i72861,Muskhogean|Muskhogean language|Muskogean|Muskogean language,Q902978
06926411-n,a family of North American Indian languages,i72862,Na-Dene,Q26986
06926544-n,a family of Amerindian languages spoken in Washington and British Columbia,i72863,Mosan,Q59899
06926724-n,a group of Mosan languages spoken in Washington,i72864,Chemakuan,Q1073088
06926943-n,a family of Mosan language spoken in northwestern United States and western Canada,i72866,Salish|Salishan,Q33985
06927199-n,a family of North American Indian languages of British Columbia and Washington,i72868,Wakashan|Wakashan language,Q60069
06927388-n,a Wakashan language spoken by the Kwakiutl,i72869,Kwakiutl|Kwakiutl language,Q2640628
06927485-n,a Wakashan language spoken by the Nootka,i72870,Nootka|Nootka language,Q2992876
06927578-n,the language spoken by the Shoshone (belonging to the Uto-Aztecan family),i72871,Shoshone,Q33811
06928377-n,a family of North American Indian languages spoken widely in the Midwest by the Caddo,i72877,Caddo|Caddoan|Caddoan language,Q1025090
06929579-n,a family of North American Indian languages spoken by the Iroquois,i72888,Iroquoian|Iroquois|Iroquoian language,Q33623
06930273-n,the language spoken by the Tupi of Brazil and Paraguay,i72892,Tupi|Tupi language,Q56944
06930378-n,a family of South American Indian languages,i72893,Tupi-Guarani|Tupi-Guarani language,Q148610
06930540-n,a family of South American Indian languages spoken in northeastern South America,i72894,Arawak|Arawakan,Q626753
06930818-n,the family of languages that includes Eskimo and Aleut,i72896,Eskimo-Aleut|Eskimo-Aleut language,Q25946
06930991-n,the language spoken by the Eskimo,i72897,Eskimo|Esquimau|Eskimo language|Esquimau language,Q20736
06931172-n,a family of American Indian languages,i72899,Uto-Aztecan|Uto-Aztecan language,Q34073
06931416-n,the Uto-Aztecan language spoken by the Pima,i72900,Pima|Pima language,Q2393095
06931510-n,the Uto-Aztecan language spoken by the Aztec,i72901,Aztecan|Aztecan language,Q11965602
06931708-n,the Uto-Aztecan language of the Cahita,i72903,Cahita|Cahita language,Q57982892
06931799-n,the Uto-Aztecan language of the Tatahumara,i72904,Tatahumara|Tatahumara language,Q36807
06931991-n,a family of American Indian languages spoken by Mayas,i72906,Maya|Mayan|Mayan language,Q33738
06932210-n,the language of the Apache,i72907,Apache|Apache language,Q27758
06932325-n,"an Apache language, spoken in New Mexico, Mescalero Reservation, and by some Chiricahua at Fort Sill, Oklahoma",i72908,Chiricahua Apache|Chiricahua Apache language,Q13368
06932407-n,"an Apache language, spoken in East central Arizona, on several reservations",i72909,San Carlos Apache|San Carlos Apache language,Q28060
06932906-n,a family of North American Indian languages spoken by the Sioux,i72914,Siouan|Siouan language,Q34181
06933274-n,a family of North American Indian language spoken in southwestern United States,i72915,Tanoan|Tanoan language,Q386288
06933533-n,a family of Amerindian languages spoken in California,i72917,Hokan|Hoka,Q33406
06933963-n,"a group of seven languages of the Hokan family, its boundaries were the Pacific Ocean to the west, Wintuan territory in the Sacramento Valley to the east, the head of the Russian River to the north, and Bodega Head and present-day Santa Rosa to the south",i72920,Kulanapan,Q2618420
06934077-n,the Kulanapan language spoken by the Pomo,i72921,Pomo|Pomo language,Q36408
06934283-n,the Quoratean language of the Karok,i72923,Karok|Karok language|Quoratean,Q1288440
06934370-n,a group of languages of the Hokan family in California,i72924,Shastan,Q2991735
06934532-n,the Shastan language spoken by the Achomawi,i72925,Achomawi|Achomawi language,Q56661
06934822-n,a group of language of the Hokan family in Arizona and California and Mexico,i72928,Yuman,Q579137
06935166-n,the Yuman language spoken by the Akwa'ala,i72929,Akwa'ala|Akwa'ala language,Q56726
06935262-n,the Yuman language spoken by the Cochimi,i72930,Cochimi|Cochimi language,Q3915551
06935554-n,the Yuman language spoken by the Havasupai,i72933,Havasupai|Havasupai language,Q33337
06935652-n,the Yuman language spoken by the Kamia,i72934,Kamia|Kamia language|Diegueno|Diegueno language,Q4910139
06936060-n,the Yuman language spoken by the Walapai,i72938,Walapai|Hualapai|Hualpai|Hualpai language|Hualapai language|Walapai language,Q20064941
06936269-n,the Yuman language spoken by the Yuma,i72940,Yuma|Yuma language,Q3573199
06936481-n,the dialect of Yana spoken by the Yahi,i72942,Yahi|Yahi language,Q131625885
06936657-n,a family of Amerindian language spoken in the great interior valley of California,i72944,Penutian,Q115485
06936991-n,a group of Penutian languages spoken to the west of the Sacramento river,i72945,Copehan,Q1294259
06937245-n,a Copehan language spoken by the Wintun,i72947,Wintun|Wintun language,Q56754
06937337-n,a Penutian language spoken by the Costanoan,i72948,Costanoan|Costanoan language,Q2612570
06937567-n,a Penutian language spoken by the Miwok,i72950,Moquelumnan|Miwok|Miwok language|Moquelumnan language,Q578082
06937880-n,a Penutian language spoken by the Kalapuya,i72953,Kalapooian|Kalapuyan|Kalapuyan language|Kalapooian language,Q1569040
06937991-n,a Penutian language spoken by the Kusan,i72954,Kusan|Kusan language,Q940278
06938520-n,a Mayan language spoken by the Kekchi,i72959,Kekchi|Kekchi language,Q35536
06938694-n,a Mayan language spoken by the Yucatec,i72961,Yucatec|Yucateco|Yucatec language|Yucateco language,Q13354
06938797-n,the Mayan language spoken by the Quiche,i72962,Quiche|Quiche language,Q36494
06938889-n,the Mayan language spoken by the Cakchiquel,i72963,Cakchiquel|Cakchiquel language,Q35115
06938989-n,a group of related languages spoken in Asia and southeastern Europe,i72964,Altaic|Altaic language,Q37845
06939235-n,a subfamily of Altaic languages,i72965,Turki|Turkic|Turko-Tatar|Turkic language,Q34090
06940263-n,"the Turkic language spoken by approximately 7,000,000 Uighur in extreme northwestern China",i72972,Uighur|Uigur|Uygur|Uighur language|Uigur language|Uygur language,Q13263
06940422-n,the Turkic language spoken by the Yakut,i72973,Yakut|Yakut language,Q34299
06940513-n,the Turkic language spoken by the Kirghiz,i72974,Kirghiz|Kirgiz|Khirghiz|Kirgiz language|Kirghiz language|Khirghiz language,Q9255
06940824-n,a Turkic literary language of medieval central Asia (named for one of the sons of Genghis Khan),i72977,Chagatai|Jagatai|Jaghatai|Eastern Turki|Chagatai language|Jaghatai language|Jagatai language|Eastern Turki language,Q36831
06941207-n,a family of Altaic languages spoken in Mongolia and neighboring areas,i72979,Tungusic|Tungusic language,Q34230
06941616-n,a family of Altaic language spoken in Mongolia,i72982,Mongolian|Mongolic|Mongolic language,Q33750
06941785-n,the language of the Khalkha that is the official language of the Mongolian People's Republic,i72983,Khalkha|Khalka|Kalka|Kalka language|Khalkha language|Khalka language,Q6399808
06942236-n,the language (related to Japanese) that is spoken by the people of the Ryukyu Islands,i72986,Ryukyuan|Ryukyuan language,Q56393
06942395-n,a group of Sino-Tibetan languages,i72987,Sinitic|Sinitic language,Q33857
06942870-n,the dialect of Chinese spoken in Beijing and adopted as the official language for all of China,i72989,Mandarin|Mandarin Chinese|Mandarin dialect|Beijing dialect,Q727694
06943075-n,a dialect of Chinese spoken in the Yangtze delta,i72990,Wu|Wu dialect|Shanghai dialect,Q34290
06943204-n,the dialect of Chinese spoken in Canton and neighboring provinces and in Hong Kong and elsewhere outside China,i72991,Yue|Yue dialect|Cantonese|Cantonese dialect,Q7033959
06943410-n,any of the forms of Chinese spoken in Fukien province,i72992,Min|Min dialect|Fukien|Fukkianese|Hokkianese|Amoy|Taiwanese|Amoy language|Fukkianese language|Hokkianese language|Taiwanese language|Fukien language|Min language,Q56504
06943711-n,the family of tonal languages spoken in eastern Asia,i72994,Sino-Tibetan|Sino-Tibetan language,Q45961
06943976-n,a branch of the Sino-Tibetan family of languages spoken from Tibet to the Malay Peninsula,i72995,Tibeto-Burman|Tibeto-Burman language,Q34064
06944276-n,the Tibeto-Burman language spoken in Sichuan,i72996,Qiang|Qiangic|Qiangic language|Qiang language,Q1636765
06945042-n,the Tibeto-Burman language spoken in northern Burma and Yunnan,i73001,Lolo-Burmese|Burmese-Yi|Burmese-Yi language|Lolo-Burmese language,Q1635712
06945314-n,languages spoken by hill tribes in northern Burma and neighboring areas,i73003,Loloish|Loloish language,Q37035
06945580-n,"a Loloish language, spoken in South Yunnan Province, Jingdong and Jinggu counties, Yuanjiang and Lancang (Mekong) river basins, Ailao mountains",i73005,Hani|Akha|Hani language|Akha language,Q17004185
